# Quadriceps.jl catalog of rules128.bin (IEEE binary128) — written by build/build_data.jl; do not edit by hand
# relerr128: largest relative monomial error of the rule rounded to binary128, in wider arithmetic; 2^-112 = 1.93e-34 is the machine epsilon
# extendedfile, sha256: the deposit's 80-digit file (rules_extended/ in the Zenodo archive) the binary128 rule was rounded from;
# relerr80: the deposit's measured error of that 80-digit rule (err_extended in its summary.csv)
family	d	p	n	relerr128	extendedfile	sha256	relerr80
le	3	9	48	1.386e-35	legendre_d3_p9_q5_n48.mp.csv	aeec7f62213718b0b0914e7e54186cdb6d061ec7687426b54a46c220ae6b2dc7	6.948e-75
le	3	11	82	1.056e-35	legendre_d3_p11_q6_n82.mp.csv	f3a950459f5f5c302be2b8dabc7c97378f86da4ae565ed1afa590d6080c629de	1.890e-74
le	3	13	128	4.702e-36	legendre_d3_p13_q7_n128.mp.csv	1ddc2378b4abde332b95130ed7873d2336cd95c9c5cc6fa0d1cbdf76f883a880	5.659e-74
le	3	15	188	8.652e-36	legendre_d3_p15_q8_n188.mp.csv	bc0ade1234fde590dcd2a60d30122e16fb8475efe814d34f5a57f82f3c595f12	6.916e-74
le	3	17	266	4.883e-36	legendre_d3_p17_q9_n266.mp.csv	b869f669a6a0e0b13866884d2a277f51fae009eb9b0d192fbcf382717900a6b4	4.169e-73
le	3	19	360	2.892e-36	legendre_d3_p19_q10_n360.mp.csv	50cfb9dad52acedf403713b63f6379908c9d970bb42ad9ee62dc7fdd62a6c2da	9.579e-73
le	3	21	476	5.721e-36	legendre_d3_p21_q11_n476.mp.csv	174b571bfb36d295ab01b365bc356579d8f98a7e82cc287ea391040bd55cbd4e	1.461e-71
le	3	23	612	4.244e-36	legendre_d3_p23_q12_n612.mp.csv	d0026bec4bd479618112b5e2fd2a15e712b0d377e2bd251b493607ee05e875d0	7.176e-70
le	3	25	776	2.545e-36	legendre_d3_p25_q13_n776.mp.csv	2740b167a9cf0b7af99e4c289375e19a7362cfd54e49195579c71e423a5816db	2.203e-71
le	3	27	964	3.909e-36	legendre_d3_p27_q14_n964.mp.csv	7a803f8875d28f494bb390059cae7b71b81c331db58eece064002c046e3043b9	2.184e-75
le	3	29	1184	4.413e-36	legendre_d3_p29_q15_n1184.mp.csv	b35cb517ecdde0cc3372e0785975e680664298fe053ca94ab9a10760db71c16d	9.277e-78
le	3	31	1432	4.637e-36	legendre_d3_p31_q16_n1432.mp.csv	3230f9a5c4f606655c57ec0970ec6bc98aae5b03e513585bbc1273f6558d60dc	2.840e-76
le	3	33	1714	1.910e-36	legendre_d3_p33_q17_n1714.mp.csv	aa4b54f33e9a9847207aa8557b018d397ba2725aaaf25ef972de0a4d860969a9	6.715e-78
le	3	35	2028	3.246e-36	legendre_d3_p35_q18_n2028.mp.csv	3acfd4afbadcf3931501e6bc4a2639c0d8c76c73efcb4cdf12918cf7a8e6b5f1	2.556e-76
le	3	37	2380	2.337e-36	legendre_d3_p37_q19_n2380.mp.csv	92c26a54ec0efd3d8510afa7574f4536c89d99a9823f28adaf834097eb813b4d	1.042e-75
le	3	39	2770	2.096e-36	legendre_d3_p39_q20_n2770.mp.csv	26351f549c2e199a4372cca667926f0dda2955d71ab682911a5572a28f645e97	2.688e-74
le	3	41	3200	1.892e-36	legendre_d3_p41_q21_n3200.mp.csv	7676488d671fcdb27c9386dd4d7993638ab094cc769d6abe62dc12f118640750	7.905e-75
le	3	43	3704	2.501e-36	legendre_d3_p43_q22_n3704.mp.csv	334f40caada2a5a975f830a4ddb15cb0028b5e9b83fb3ff2c7358af028fe2ad5	4.941e-71
le	3	45	4308	3.249e-36	legendre_d3_p45_q23_n4308.mp.csv	3ae02ac6276750791435e6058465866169f7d6c7aa6c2fa1888ae6ab346df569	2.277e-71
le	4	1	1	0.000e+00	legendre_d4_p1_q1_n1.mp.csv	2515231edc72c297410e2cacb13e7c65fb408d39a3518f283ca3929f1d18e7ba	0.000e+00
